Question ID,Question,Context,Ground Truth
Q37,What is the balance for Equity Derivatives in 2025Q1 for BHC base scenario?,"From bhc_base.csv: rows where period_id=""2025Q1"" AND business=""EQUITY DERIVATIVES""","The total balance from bhc_base.csv for EQUITY DERIVATIVES business in 2025Q1 is 410,170,253.81."
Q38,What is the balance for Equity Financing in 2026Q1 for internal adverse scenario?,"From internal_adverse.csv: rows where period_id=""2026Q1"" AND business=""EQUITY FINANCING""","The total balance from internal_adverse.csv for EQUITY FINANCING business in 2026Q1 is 310,108,953.81."
Q39,What is the balance for Firm business in 2024Q3 for supervisory severely adverse scenario?,"From supervisory_severely_adverse.csv: rows where period_id=""2024Q3"" AND business=""FIRM""","The total balance from supervisory_severely_adverse.csv for FIRM business in 2024Q3 is 175,000."
Q40,What is the balance for Agency Derivative Services in 2025Q2 for BHC base scenario?,"From bhc_base.csv: rows where period_id=""2025Q2"" AND business=""AGENCY DERIVATIVE SERVICES""","The total balance from bhc_base.csv for AGENCY DERIVATIVE SERVICES business in 2025Q2 is 23,507,562.76."
Q41,What is the balance for Fixed Income Financing in 2024Q4 for supervisory baseline scenario?,"From supervisory_baseline.csv: rows where period_id=""2024Q4"" AND business=""FIXED INCOME FINANCING""","The total balance from supervisory_baseline.csv for FIXED INCOME FINANCING business in 2024Q4 is 4,601,268,260.02."
Q42,What is the balance for Other assets USG in 2025Q3 for internal adverse scenario?,"From internal_adverse.csv: rows where period_id=""2025Q3"" AND level_3=""U11800000""","The total balance from internal_adverse.csv for Other assets USG in 2025Q3 is 310,108,953.81."
Q43,What is the balance for BCDF ccar_cluster in 2024Q2 for supervisory severely adverse scenario?,"From supervisory_severely_adverse.csv: rows where period_id=""2024Q2"" AND ccar_cluster=""BCDF""","The total balance from supervisory_severely_adverse.csv for ccar_cluster ""BCDF"" in 2024Q2 is 374,519,993.29."
Q44,What is the balance for Capital Hedge segment in 2025Q1 for BHC base scenario?,"From bhc_base.csv: rows where period_id=""2025Q1"" AND segment_lob=""CAPITAL HEDGE""","The total balance from bhc_base.csv for segment_lob ""CAPITAL HEDGE"" in 2025Q1 is 175,000."
Q45,What is the balance for Total liabilities USG in 2024Q3 for supervisory baseline scenario?,"From supervisory_baseline.csv: rows where period_id=""2024Q3"" AND level_2=""U20000000""","The total balance from supervisory_baseline.csv for Total liabilities USG in 2024Q3 is 2,348,562,130.01."
Q46,What is the balance for Derivative Contracts in 2025Q4 for internal adverse scenario?,"From internal_adverse.csv: rows where period_id=""2025Q4"" AND central_view=""DERIVATIVE CONTRACTS""","The total balance from internal_adverse.csv for central_view ""DERIVATIVE CONTRACTS"" in 2025Q4 is 23,459,152.76."
Q47,What is the balance for Advisory business in 2026Q1 for BHC base scenario?,"From bhc_base.csv: rows where period_id=""2026Q1"" AND business=""ADVISORY""","The total balance from bhc_base.csv for ADVISORY business in 2026Q1 is 115,200."
Q48,What is the balance for Equity Financing in 2024Q3 for supervisory baseline scenario?,"From supervisory_baseline.csv: rows where period_id=""2024Q3"" AND business=""EQUITY FINANCING""","The total balance from supervisory_baseline.csv for EQUITY FINANCING business in 2024Q3 is 410,170,253.81."
Q49,What is the balance for Treasury business in 2025Q2 for supervisory severely adverse scenario?,"From supervisory_severely_adverse.csv: rows where period_id=""2025Q2"" AND business=""TREASURY""","The total balance from supervisory_severely_adverse.csv for TREASURY business in 2025Q2 is 772,039.48."
Q50,What is the balance for Agency Derivative Services in 2024Q1 for internal adverse scenario?,"From internal_adverse.csv: rows where period_id=""2024Q1"" AND business=""AGENCY DERIVATIVE SERVICES""","The total balance from internal_adverse.csv for AGENCY DERIVATIVE SERVICES business in 2024Q1 is 80,962.76."
